YEAR,Frequency,std_err,CI_low,CI_high
1994-1993,0,,,
1996-1995,0.01,,,
1998-1997,0.03,0.02892308721593,0,0.088235294117647
2000-1999,0.06,0.048636366143268,0,0.176470588235294
2002-2001,0.12,0.055318010518041,0.029411764705882,0.235294117647059
2004-2003,0.26,0.075911567786765,0.117647058823529,0.411764705882353
2006-2005,0.29,0.078192412589424,0.147058823529412,0.441176470588235
2008-2007,0.35,0.082234779492108,0.176470588235294,0.5
2010-2009,0.65,0.083460871391115,0.411764705882353,0.735294117647059
2012-2011,0.74,0.075640539814015,0.529411764705882,0.852941176470588
2014-2013,0.82,0.069320436112525,0.588235294117647,0.882352941176471
2016-2015,0.82,0.069454534897809,0.588235294117647,0.882352941176471
2018-2017,0.85,0.060616044136152,0.647058823529412,0.911764705882353
